"用户ID","特征","清洁效果","耗材","对比","时间"
"1001","55m²一居\n独居","覆盖度:90%\n日均清扫:35m²\n沿边清扫无死角","滤网寿命:剩余80天\n尘盒清理:每5天","清洁效率优于70%小户型用户","2025-01"
"1002","100m²三居\n三口之家\n大理石","覆盖度:86%\n餐桌区域清扫:1次/天\n避障成功率:90%","主刷磨损:轻度\n水箱加水:每日2次","大理石地面清洁效果优于同类32%","2025-01"
"1003","80m²两居\n养宠\n仿实木","宠物毛发清理:85%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","养宠家庭中清洁效率处于中等水平","2025-01"
"1004","130m²四居\n三代同堂\n通体砖","覆盖度:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:15%\n边刷寿命:剩余45天","大户型便捷性低于同类18%","2025-02"
"1005","65m²公寓\n单身\n木地板","覆盖度:86%\n日均清扫:46m²\n漏扫区域:沙发底部\n沙发底部清扫不足","电池寿命:剩余55天\nHEPA滤网:剩余35%","优于70%同面积用户（清洁频率更高）","2025-02"
"1006","70m²公寓\n情侣\n瓷砖","覆盖度:87%\n避障失败:3次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每2天","拖地功能使用率低于同类32%","2025-02"
"1007","90m²三居\n1狗\n短毛地毯","毛发清理:91%\n地毯增压使用率:1次/月","胶刷更换:剩余20天\n尘盒容量:每日清理","毛发处理效率前15%","2025-03"
"1008","85m²两居\n2猫\n混合地面","猫砂泼洒处理:9次/月\n自动回充成功率:87%","主刷缠绕:严重\n滤网更换:紧急","建议升级吸力至2500Pa+定期清理主刷","2025-03"
"1009","120m²四居\n老人\n防滑砖","手动操作占比:94%\n定时清扫使用率:1次/周","电池衰减:26%\n水箱未激活","急需语音控制功能+简化操作界面","2025-03"
"1010","150m²别墅\n儿童\n多层","跨楼层失败:4次/周\n玩具避障率:74%","边刷更换:1个/月\n尘袋消耗:1.2个/月","建议增加机械臂配件+提升跨楼层导航能力","2025-04"
"1011","55m²一居\n独居\n复合地板","覆盖度:91%\n日均清扫:36m²\n沿边清扫无死角","滤网寿命:剩余75天\n尘盒清理:每4天","清洁效率优于75%小户型用户","2025-04"
"1012","100m²三居\n三口之家\n大理石","覆盖度:88%\n餐桌区域清扫:1次/天\n避障成功率:91%","主刷磨损:轻度\n水箱加水:每日1次","大理石地面清洁效果与同类持平","2025-04"
"1003","80m²两居\n养宠\n仿实木","宠物毛发清理:86%\n自动回充成功率:93%","胶刷缠绕:中度\n滤网更换:剩余25天","养宠家庭中清洁效率处于中等水平","2025-05"
"1004","130m²四居\n三代同堂\n通体砖","覆盖度:83%\n手动辅助清扫:2次/天\n定时清扫使用率:65%","电池衰减:17%\n边刷寿命:剩余40天","大户型便捷性与同类持平","2025-05"
"1005","65m²公寓\n单身\n木地板","覆盖度:88%\n日均清扫:48m²\n无漏扫区域\n沙发底部清扫全覆盖","电池寿命:剩余45天\nHEPA滤网:剩余25%","优于80%同面积用户（清洁效率拉满）","2025-05"
"1006","70m²公寓\n情侣\n瓷砖","覆盖度:89%\n避障失败:1次/周（电线缠绕）","边刷磨损:轻度\n尘盒清理:每3天","拖地功能使用率提升至同类平均水平","2025-06"
"1007","90m²三居\n1狗\n短毛地毯","毛发清理:93%\n地毯增压使用率:2次/月","胶刷更换:剩余45天\n尘盒容量:每2天清理","毛发处理效率前10%","2025-06"
"1008","85m²两居\n2猫\n混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:88%","主刷缠绕:中度\n滤网更换:剩余15天","升级吸力后清洁效率提升5%","2025-06"
"1009","120m²四居\n老人\n防滑砖","手动操作占比:85%\n定时清扫使用率:2次/周","电池衰减:28%\n水箱使用率:50%","语音控制功能已安装+操作熟练度提升","2025-07"
"1010","150m²别墅\n儿童\n多层","跨楼层失败:1次/周\n玩具避障率:85%","边刷更换:0.8个/月\n尘袋消耗:1个/月","清洁效率优于80%大户型多层用户","2025-07"
"1011","55m²一居\n独居\n复合地板","覆盖度:92%\n日均清扫:37m²\n沿边清扫无死角","滤网寿命:剩余70天\n尘盒清理:每5天","清洁效率优于80%小户型用户","2025-07"
"1012","100m²三居\n三口之家\n大理石","覆盖度:90%\n餐桌区域清扫:1次/天\n避障成功率:92%","主刷磨损:无\n水箱加水:每日1次","大理石地面清洁效果优于同类10%","2025-08"
